Month,Day,Hour,GHI
10,31,4,0
10,31,5,0
10,31,6,0
10,31,7,0
10,31,8,173
10,31,9,374
10,31,10,544
10,31,11,660
10,31,12,712
10,31,13,697
10,31,14,616
10,31,15,476
10,31,16,294
10,31,17,101
10,31,18,0
10,31,19,0
10,31,20,0
10,31,21,0
10,31,22,0
10,31,23,0
11,1,0,0
11,1,1,0
11,1,2,0
11,1,3,0
11,1,4,0
11,1,5,0
11,1,6,0
11,1,7,0
11,1,8,169
11,1,9,371
11,1,10,541
11,1,11,659
11,1,12,712
11,1,13,697
11,1,14,615
11,1,15,474
11,1,16,291
11,1,17,99
11,1,18,0
11,1,19,0
11,1,20,0
11,1,21,0
11,1,22,0
11,1,23,0
11,2,0,0
11,2,1,0
11,2,2,0
11,2,3,0
11,2,4,0
11,2,5,0
11,2,6,0
11,2,7,0
11,2,8,156
11,2,9,348
11,2,10,513
11,2,11,627
11,2,12,679
11,2,13,665
11,2,14,586
11,2,15,451
11,2,16,275
11,2,17,91
11,2,18,0
11,2,19,0
11,2,20,0
11,2,21,0
11,2,22,0
11,2,23,0
11,3,0,0
11,3,1,0
11,3,2,0
11,3,3,0
11,3,4,0
11,3,5,0
11,3,6,0
11,3,7,0
11,3,8,149
11,3,9,338
11,3,10,498
11,3,11,611
11,3,12,662
11,3,13,647
11,3,14,569
11,3,15,435
11,3,16,263
11,3,17,84
11,3,18,0
11,3,19,0
11,3,20,0
11,3,21,0
11,3,22,0
11,3,23,0
11,4,0,0
11,4,1,0
11,4,2,0
11,4,3,0
11,4,4,0
11,4,5,0
11,4,6,0
11,4,7,0
11,4,8,103
11,4,9,281
11,4,10,407
11,4,11,502
11,4,12,341
11,4,13,255
11,4,14,24
11,4,15,214
11,4,16,193
11,4,17,81
11,4,18,0
11,4,19,0
11,4,20,0
11,4,21,0
11,4,22,0
11,4,23,0
11,5,0,0
11,5,1,0
11,5,2,0
11,5,3,0
11,5,4,0
11,5,5,0
11,5,6,0
11,5,7,0
11,5,8,146
11,5,9,337
11,5,10,500
11,5,11,614
11,5,12,667
11,5,13,653
11,5,14,574
11,5,15,319
11,5,16,188
11,5,17,50
11,5,18,0
11,5,19,0
11,5,20,0
11,5,21,0
11,5,22,0
11,5,23,0
11,6,0,0
11,6,1,0
11,6,2,0
11,6,3,0
11,6,4,0
11,6,5,0
11,6,6,0
11,6,7,0
11,6,8,9
11,6,9,146
11,6,10,199
11,6,11,221
11,6,12,240
11,6,13,263
11,6,14,288
11,6,15,435
11,6,16,260
11,6,17,81
11,6,18,0
11,6,19,0
11,6,20,0
11,6,21,0
11,6,22,0
11,6,23,0
11,7,0,0
11,7,1,0
11,7,2,0
11,7,3,0
11,7,4,0
11,7,5,0
11,7,6,0
11,7,7,0
11,7,8,14
11,7,9,188
11,7,10,283
11,7,11,231
11,7,12,252
11,7,13,209
11,7,14,125
11,7,15,195
11,7,16,181
11,7,17,30
11,7,18,0
11,7,19,0
11,7,20,0
11,7,21,0
11,7,22,0
11,7,23,0
11,8,0,0
11,8,1,0
11,8,2,0
11,8,3,0
11,8,4,0
11,8,5,0
11,8,6,0
11,8,7,0
11,8,8,141
11,8,9,336
11,8,10,503
11,8,11,619
11,8,12,673
11,8,13,659
11,8,14,579
11,8,15,442
11,8,16,264
11,8,17,82
11,8,18,0
11,8,19,0
11,8,20,0
